2026-06-03 13:30:02 [INFO]   POST    /checkin
2026-06-03 13:30:02 [INFO]   GET     /checkin/hoy
2026-06-03 13:30:02 [INFO]   GET     /checkin/historial
2026-06-03 13:30:02 [INFO]   PUT     /checkin/hoy
2026-06-03 13:30:02 [INFO]   GET     /estadisticas
2026-06-03 13:30:02 [INFO]   POST    /diario
2026-06-03 13:30:02 [INFO]   GET     /diario
2026-06-03 13:30:02 [INFO]   GET     /diario/aleatorio
2026-06-03 13:30:02 [INFO]   GET     /diario/:id
2026-06-03 13:30:02 [INFO]   PUT     /diario/:id
2026-06-03 13:30:02 [INFO]   DELETE  /diario/:id
2026-06-03 13:30:02 [INFO]   GET     /insights
2026-06-03 13:30:02 [INFO]   POST    /pausa/programar
2026-06-03 13:30:02 [INFO]   GET     /pausa/ejercicios
2026-06-03 13:30:02 [INFO]   POST    /pausa/completar
2026-06-03 13:30:02 [INFO]   POST    /
2026-06-03 13:30:02 [INFO]   GET     /
2026-06-03 13:30:02 [INFO]   DELETE  /
2026-06-03 13:30:02 [INFO]   GET     /dashboard
2026-06-03 13:30:02 [INFO]   GET     /timeline
2026-06-03 13:30:02 [INFO]   GET     /:id
2026-06-03 13:30:02 [INFO]   PUT     /:id
2026-06-03 13:30:02 [INFO]   DELETE  /:id
2026-06-03 13:30:02 [INFO]   POST    /plan-semanal
2026-06-03 13:30:02 [INFO]   POST    /:metaId/krs
2026-06-03 13:30:02 [INFO]   GET     /:metaId/krs
2026-06-03 13:30:02 [INFO]   PUT     /:metaId/krs/:krId
2026-06-03 13:30:02 [INFO]   DELETE  /:metaId/krs/:krId
2026-06-03 13:30:02 [INFO]   PATCH   /:metaId/krs/:krId/progreso
2026-06-03 13:30:02 [INFO]   POST    /:metaId/descomponer-ia
2026-06-03 13:30:02 [INFO]   GET     /datos
2026-06-03 13:30:02 [INFO]   GET     /preferencias-email
2026-06-03 13:30:02 [INFO]   POST    /preferencias-email
2026-06-03 13:30:02 [INFO]   POST    /enviar-resumen-semanal
2026-06-03 13:30:02 [INFO]   GET     /dia
2026-06-03 13:30:02 [INFO]   GET     /semana
2026-06-03 13:30:02 [INFO]   POST    /habitos/toggle
2026-06-03 13:30:02 [INFO]   GET     /plantillas
2026-06-03 13:30:02 [INFO]   POST    /plantillas
2026-06-03 13:30:02 [INFO]   DELETE  /plantillas/:diaSemana
2026-06-03 13:30:02 [INFO]   POST    /aplicar-semana
2026-06-03 13:30:02 [INFO]   POST    /limpiar-semana
2026-06-03 13:30:02 [INFO]   DELETE  /plantillas/bloques
2026-06-03 13:30:02 [INFO]   DELETE  /plantillas/bloques/:id
2026-06-03 13:30:02 [INFO]   GET     /init
2026-06-03 13:30:02 [INFO]   GET     /dashboard
2026-06-03 13:30:02 [INFO]   GET     /libros
2026-06-03 13:30:02 [INFO]   POST    /libros
2026-06-03 13:30:02 [INFO]   GET     /libros/:id
2026-06-03 13:30:02 [INFO]   PUT     /libros/:id
2026-06-03 13:30:02 [INFO]   DELETE  /libros/:id
2026-06-03 13:30:02 [INFO]   GET     /libros/:libroId/registros
2026-06-03 13:30:02 [INFO]   POST    /libros/:libroId/registros
2026-06-03 13:30:02 [INFO]   DELETE  /libros/:libroId/registros/:id
2026-06-03 13:30:02 [INFO]   POST    /registros/toggle
2026-06-03 13:30:02 [INFO]   GET     /planes
2026-06-03 13:30:02 [INFO]   POST    /planes
2026-06-03 13:30:02 [INFO]   GET     /planes/:id
2026-06-03 13:30:02 [INFO]   PUT     /planes/:id
2026-06-03 13:30:02 [INFO]   DELETE  /planes/:id
2026-06-03 13:30:02 [INFO]   GET     /
2026-06-03 13:30:02 [INFO]   GET     /api/health
2026-06-03 13:30:02 [INFO] 216 endpoints totales
2026-06-03 13:33:53 [INFO] [EventBus] Inicializando listeners...
